name,method,path,http_status,curl_errno,curl_error,body_php_error_marker,expected_match,scope,result,body_sha256,body_preview
web_index,GET,/index.php,302,0,,no,not-required,readonly,pass,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,
web_home_route,GET,/,302,0,,no,not-required,readonly,pass,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,
admin_login_gate,GET,/admincp.php,302,0,,no,not-required,readonly,pass,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,
api_missing_type,GET,/api.php,200,0,,no,yes,readonly,pass,ec02c4dc05f989d84f6ae96bf6cd551b746114e44f62e989bfd670ccc06f1c8c,"{ ""api_status"": ""failed"", ""api_version"": ""1.3.1"", ""errors"": { ""error_id"": ""3"", ""error_text"": ""Bad request."" } }"
api_invalid_type,GET,/api.php?type=invalid,200,0,,no,yes,readonly,pass,ec02c4dc05f989d84f6ae96bf6cd551b746114e44f62e989bfd670ccc06f1c8c,"{ ""api_status"": ""failed"", ""api_version"": ""1.3.1"", ""errors"": { ""error_id"": ""3"", ""error_text"": ""Bad request."" } }"
api_user_data_seeded,GET,/api.php?type=user_data&user=phase1user,200,0,,no,yes,readonly,pass,5e237cc7e8bc3b6817957bfbc7474f167b4e2bdb9b4a3018e7d955e4facad32c,"{ ""api_status"": ""success"", ""api_version"": ""1.3.1"", ""user_data"": { ""id"": ""1"", ""username"": ""phase1user"", ""first_name"": ""Phase"", ""last_name"": ""User"", ""gender"": ""male"", ""birthday"": ""00"
api_posts_data_seeded,GET,/api.php?type=posts_data&user=phase1user,200,0,,no,not-required,readonly,pass,c9fa49e7524346fb49425f6f93c01c903a6a7e2082252d5d4a327d6f977045b4,"{ ""api_status"": ""failed"", ""api_version"": ""1.3.1"", ""errors"": { ""error_id"": ""2"", ""error_text"": ""User does not have any posts."" } }"
ajax_missing_xhr_restricted,GET,/requests.php?f=login,200,0,,no,not-required,readonly,pass,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,[]
ajax_login_missing_fields,POST,/requests.php?f=login,200,0,,no,yes,readonly,pass,af09cf48702f94fe263ff9476aabc9d135f91471d68a0c3c2d78f6832cc7bb80,"{""errors"":["" Incorrect username or password""]}"
ajax_resend_two_factor_missing_hash,GET,/requests.php?f=resend_two_factor,200,0,,no,yes,readonly,pass,10cff479a7e4f79e01a723a28e9cf37e31adb6cb8fa49cc9939d8d39c5059887,"{""status"":400,""message"":""Code expired, please Login again.""}"
api_v2_missing_route,GET,/api/v2/,302,0,,no,not-required,readonly,pass,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,
auth_user_login,POST,/requests.php?f=login,200,0,,no,yes,disposable-db-session,pass-disposable-session,62c3ba89ecd90f83f7a69b54f119ea1388b4570253205d5810df9391f742a01c,"{""status"":200,""location"":""http:\/\/127.0.0.1:8082\/?cache=1783714443""}"
auth_user_home,GET,/index.php,200,0,,no,not-required,readonly-with-session,pass,03cc96477001d4a4d36a2f1fc28761062da46eb125ce3a292d35de2348ee6374," ramza "
ajax_session_status_logged_in,GET,/requests.php?f=session_status,200,0,,no,not-required,readonly-with-session,pass,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,[]
upload_blog_image_png,POST,/requests.php?f=upload-blog-image,200,0,,no,yes,disposable-db-and-filesystem,pass-disposable-db-and-filesystem,02c046f02b38eac2c4dcd78761ab8e5c28b5d7a6e09b23020e55c705eca8397e,"{""location"":""http:\/\/127.0.0.1:8082\/upload\/photos\/2026\/07\/mDXcwgykmNmL8TAFUXJI_10_f91be33a76c8bb85f5cb58acb12b1b96_image.png""}"
auth_admin_login,POST,/requests.php?f=login,200,0,,no,yes,disposable-db-session,pass-disposable-session,d9c25077278f96b9088e9d8eadd5e123b8eb0e45f943fdd5b20ed3d5363ded72,"{""status"":200,""location"":""http:\/\/127.0.0.1:8082\/?cache=1783714444""}"
admin_dashboard_authenticated,GET,/admincp.php,200,0,,no,not-required,readonly-with-session,pass,fce8bac7eaf25b493eebc5b6935666dadda64fe50181e9e6d9e93092ee18c06b," Admin Panel | ramza"
cron_direct_disposable_db,GET,/cron-job.php,200,0,,no,yes,disposable-db-mutation,pass-disposable-db-mutation,8e26b1e3af5d0a1168ed531e90c41dfae92679f3dec8d4218fbd1405121cddd9,"{""status"":200,""message"":""success""}"
